Athlete Name,Nouns,Values,Adjectives,Sponsor,IG Followers,Practiced Sport,Nationality,Core Audience,Net Worth (Estimated),Age,Agent,Sports Sponsors
Kohl Christensen,"Surfing,Big Wave","Power,Endurance,Fearlessness","Exceptional,Inspirational,Big wave surfer",O'Neill,50K,Surfing,American,"Big wave enthusiasts,Surf fans",300K (approx.),43,Unknown,Patagonia
Kyle Thiermann,"Surfing,Filmmaking,Environmentalism","Agility,Storytelling,Ocean enthusiasm","Dynamic,Inspirational,Surf filmmaker",Patagonia,25K,Surfing,American,"Surf media,Environmental enthusiasts",120K (approx.),30,Unknown,Patagonia
L̩a Brassy,"Surfing,Adventure","Agility,Endurance,Exploration","Dynamic,Inspirational,Surf explorer",Rip Curl,30K,Surfing,French,"Surf adventure seekers,Travel enthusiasts",180K (approx.),28,Unknown,Patagonia
Liz Clark,"Surfing,Sailing,Environmentalism","Balance,Passion,Ocean therapy","Inspirational,Wellness-focused,Surf therapist",O'Neill,20K,Surfing,American,"Surf wellness enthusiasts,Ocean therapy",100K (approx.),37,Unknown,Patagonia
Mary Osborne,"Surfing,Activism","Influence,Passion,Surf pioneering","Legendary,Inspirational,Surf icon",Roxy,40K,Surfing,American,"Surf legends,Women's surfing enthusiasts",250K (approx.),60,Unknown,Patagonia
Jeff Denholm,"Surfing,Entrepreneurship,Environmentalism","Ingenuity,Passion,Surf innovation","Innovative,Inspirational,Eco-entrepreneur",Surftech,15K,Surfing,American,"Surf innovators,Eco-business enthusiasts",80K (approx.),55,Unknown,Patagonia
Joe Curren,"Surfing,Competition","Speed,Agility,Tactical thinking","Skilled,Inspirational,Competitive surfer",Patagonia,25K,Surfing,American,"Surf competitors,US surf fans",150K (approx.),55,Unknown,Patagonia
Otto Flores,"Surfing,Adventure","Agility,Endurance,Exploration","Dynamic,Inspirational,Surf explorer",Quiksilver,20K,Surfing,Mexican,"Surf adventure seekers,Latin American surf",100K (approx.),30,Unknown,Patagonia
Paige Alms,"Surfing,Big Wave","Power,Endurance,Fearlessness","Exceptional,Inspirational,Big wave surfer",Patagonia,60K,Surfing,American,"Big wave enthusiasts,Surf fans",350K (approx.),34,Unknown,Patagonia
Ian Walsh,"Surfing,Big Wave","Bravery,Endurance,Ocean respect","Respected,Inspirational,Big wave legend",O'Neill,80K,Surfing,American,"Big wave surfers,Ocean enthusiasts",500K (approx.),40,Unknown,Patagonia
Patrick Wilson,"Surfing,Filmmaking,Environmentalism","Artistry,Storytelling,Ocean enthusiasm","Renowned,Inspirational,Surf filmmaker",Red Bull Media House,25K,Surf Filmmaking,Australian,"Surf media,Environmental enthusiasts",120K (approx.),38,Unknown,Patagonia
Quinten Rubalcava,"Surfing,Coaching","Expertise,Passion,Leadership","Respected,Inspirational,Surf mentor",Rip Curl,10K,Surfing,Mexican,"Surf schools,Coaching enthusiasts",50K (approx.),28,Unknown,Patagonia
David Kinoshita,"Ultrarunning,Trail Running","Endurance,Resilience,Strategic thinking","Accomplished,Inspirational,Ultra runner",Hoka One One,10K,Ultrarunning,American,"Ultrarunning enthusiasts,Trail runners",50K (approx.),42,Unknown,Patagonia
Krissy Moehl,"Ultrarunning,Trail Running","Endurance,Mental toughness,Passion","Legendary,Inspirational,Ultra champion",Patagonia,30K,Ultrarunning,American,"Ultrarunning fans,Women's trail running",200K (approx.),48,Unknown,Patagonia
Tommy Caldwell,"Rock Climbing,Adventure","Strength,Endurance,Fearlessness","Exceptional,Inspirational,Climbing legend",The North Face,100K,Climbing,American,"Climbing enthusiasts,Adventure seekers",500K (approx.),44,Unknown,Patagonia
Clare Gallagher,"Ultrarunning,Trail Running","Agility,Endurance,Confidence","Dynamic,Inspirational,Rising star",Patagonia,20K,Ultrarunning,American,"Ultrarunning fans,Trail enthusiasts",100K (approx.),30,Unknown,Patagonia
Felipe Cancino,"Trail Running,Ultrarunning","Speed,Agility,Resilience","Promising,Inspirational,Latin American talent",Salomon,15K,Trail Running,Chilean,"Trail enthusiasts,Latin American runners",80K (approx.),28,Unknown,Patagonia
Jeff Browning,"Ultrarunning,Coaching","Expertise,Passion,Leadership","Respected,Inspirational,Ultra coach",Nike,25K,Ultrarunning,American,"Ultrarunning schools,Coaching fans",120K (approx.),50,Unknown,Patagonia
Matt Helliker,"Ski Mountaineering,Adventure","Agility,Endurance,Exploration","Dynamic,Inspirational,Ski explorer",Black Diamond Equipment,20K,Ski Mountaineering,British,"Ski enthusiasts,Adventure seekers",100K (approx.),40,Unknown,Patagonia
Marinana Mendoza,"Trail Running,Ultrarunning","Endurance,Resilience,Passion","Accomplished,Inspirational,Women's trail running",Hoka One One,10K,Trail Running,Mexican,"Trail enthusiasts,Women's running",50K (approx.),35,Unknown,Patagonia
Miguel Casar,"Rock Climbing,Bouldering","Strength,Power,Tactical thinking","Skilled,Inspirational,Climbing competitor",Petzl,15K,Climbing,Mexican,"Climbing competitors,Bouldering fans",80K (approx.),25,Unknown,Patagonia
Robbie Phillips,"Ultrarunning,Trail Running","Endurance,Mental toughness,Resilience","Respected,Inspirational,Ultra runner",La Sportiva,12K,Ultrarunning,American,"Ultrarunning enthusiasts,Trail runners",60K (approx.),38,Unknown,Patagonia
Nicholas Walken,"Adventure Running,Ultrarunning","Agility,Endurance,Exploration","Dynamic,Inspirational,Adventure runner",Arc'teryx,8K,Adventure Running,British,"Adventure seekers,Ultrarunning fans",40K (approx.),32,Unknown,Patagonia
AJ Burnett,"MLB, Pitcher, American","Stuff, Movement, Competitiveness","Fiery, Inspirational, Respected",Nike,1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$30 million (approx.),47.0,Darek Braunecker,Nike
AJ Green,"NFL, Wide Receiver, American","Speed, Strength, Catching","Dominant, Reliable, Respected",Nike,5.3M,American Football,American,"NFL fans, sports enthusiasts",$60 million (approx.),36.0,Unknown,Nike
Aaron Donald,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Reliable, Respected","Come Ready Foods LLC, Paramount Global, Rocket Companies, Uber",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),33.0,Todd France,-1
Aaron Rodgers,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Inspirational","Adidas, Fanatics, Panini, TaylorMade, Zenith",10.6M,American Football,American,"NFL fans, sports enthusiasts",$200 million (approx.),40.0,"David Dunn, Edward Berry, Jr.","Adidas, Fanatics, TaylorMade"
Adam Scott,"Golf, Golfer, Australian","Skill, Consistency, Charisma","Elegant, Inspirational, Popular","Uniqlo, Titleist, Mercedes-Benz, Rolex",1.3M,Golf,Australian,"Golf fans, sports enthusiasts",$150 million (approx.),44.0,Justin Cohen,"Uniqlo, Mercedes-Benz"
Adam Wainwright,"MLB, Pitcher, American","Stuff, Movement, Competitiveness","Fiery, Inspirational, Respected",Mizuno,1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$50 million (approx.),43.0,Steve Hammond,Mizuno
Adrian Gonzalez,"MLB, First Baseman, American","Power, Hitting, Versatility","Consistent, Reliable, Respected","Rawlings, Nike, PepsiCo",1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$50 million (approx.),42.0,John Boggs,Nike
Adrian Peterson,"NFL, Running Back, American","Speed, Power, Elusive","Dominant, Inspirational, Resilient","Nike, Verizon Wireless",7.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),39.0,"Tom Condon, Ben Dogra",Nike
Al Horford,"NBA, Center/Power Forward, Dominican Republic","Skill, Versatility, Leadership","Reliable, Respected, Productive","Banco Popular, Dunkin' Donuts, Fanatics, Intel, JBL, Nike, Panini, Unilever",1.2M,Basketball,Dominican Republic,"NBA fans, sports enthusiasts",$100 million (approx.),38.0,Jason Glushon,"Nike, Fanatics"
Albert Haynesworth,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Controversial, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),43.0,Unknown,Nike
Albert Pujols,"MLB, First Baseman/Designated Hitter, Dominican Republic","Power, Hitting, Versatility","Dominant, Iconic, Inspirational",Nike,3.9M,Baseball,Dominican Republic,"Baseball fans, sports enthusiasts",$300 million (approx.),44.0,Dan Lozano,Nike
Alex Rodriguez,"MLB, Third Baseman/Designated Hitter, American","Power, Hitting, Versatility","Dominant, Controversial, Popular",Harman International,4.4M,Baseball,American,"Baseball fans, sports enthusiasts",$350 million (approx.),49.0,Unknown,-1
Alex Smith,"NFL, Quarterback, American","Accuracy, Intelligence, Leadership","Reliable, Respected, Productive","AdvoCare, Nike",2.4M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),40.0,Tom Condon,Nike
Alexis Sanchez,"Soccer, Forward, Chilean","Speed, Dribbling, Finishing","Exciting, Creative, Productive",Nike,24.1M,Soccer,Chilean,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),35.0,Fernando Felicevich,Nike
Alfonso Soriano,"MLB, Second Baseman/Outfielder, Dominican Republic","Power, Speed, Versatility","Exciting, Productive, Popular",Mizuno,1.2M,Baseball,Dominican Republic,"Baseball fans, sports enthusiasts",$50 million (approx.),48.0,Diego Bentz,Mizuno
Amare Stoudamire,"NBA, Point Guard, American","Skill, Shooting, Leadership","Exciting, Inspirational, Respected",Nike,1.2M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),41.0,Unknown,Nike
Amare Stoudamire,"NBA, Point Guard, American","Skill, Shooting, Leadership","Exciting, Inspirational, Respected",Nike,1.2M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),41.0,Unknown,Nike
Amari Cooper,"NFL, Wide Receiver, American","Speed, Agility, Catching","Explosive, Reliable, Productive","Gatorade, Nike, Panini",4.1M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),30.0,Chafie Fields,Nike
Andre Drummond,"NBA, Center, American","Strength, Physicality, Rebounding","Dominant, Reliable, Respected","Anheuser Busch InBev, Electronic Arts, JBL, Pandora Media, Panini",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),31.0,Jeff Schwartz,-1
Andres Iniesta,"Soccer, Midfielder, Spanish","Skill, Technique, Leadership","Elegant, Inspirational, Respected","Asics, Mikakus",12.7M,Soccer,Spanish,"Soccer fans, sports enthusiasts, casual followers",$200 million (approx.),40.0,Ramon Sostres,Asics
Andrew Bynum,"NBA, Center, American","Size, Skill, Dominance","Dominant, Controversial, Respected",Nike,1.3M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),36.0,David Lee,Nike
Andrew Luck,"NFL, Quarterback, American","Arm Strength, Accuracy, Intelligence","Talented, Inspirational, Respected","BodyArmor, DIRECTV, Inc., Nike, Panini",5.3M,American Football,American,"NFL fans, sports enthusiasts",$150 million (approx.),35.0,Will Wilson,Nike
Andrew Wiggins,"NBA, Small Forward, Canadian","Athleticism, Scoring, Versatility","Exciting, Productive, Popular","BioSteel, Fitbit",4.1M,Basketball,Canadian,"NBA fans, sports enthusiasts, casual followers",$100 million (approx.),29.0,Unknown,-1
Andrus Peat,"NFL, Offensive Guard, American","Strength, Power, Versatility","Reliable, Respected, Productive",Nike,1.2M,American Football,American,"NFL fans, sports enthusiasts",$30 million (approx.),30.0,"Jim Denton, Tommy Condon, Tom Condon",Nike
Andy Dalton,"NFL, Quarterback, American","Accuracy, Leadership, Consistency","Reliable, Respected, Productive","Nike, PepsiCo",2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),36.0,Jeff Nalley,Nike
Andy Murray,"Tennis, Player, British","Skill, Consistency, Endurance","Inspirational, Resilient, Popular","Head, Jaguar, Standard Life, Under Armour",3.3M,Tennis,British,"Tennis fans, sports enthusiasts",$100 million (approx.),37.0,Matt Gentry,Under Armour
Angel Di Maria,"Soccer, Winger, Argentine","Speed, Dribbling, Crossing","Exciting, Creative, Productive",Adidas,24.1M,Soccer,Argentine,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),36.0,Jorge Mendes,Adidas
Anthony Castonzo,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),36.0,Tom Condon,Nike
Anthony Davis,"NBA, Power Forward/Center, American","Athleticism, Skill, Versatility","Dominant, Iconic, Inspirational",Nike,12.9M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),31.0,Rich Paul,Nike
Anthony Joshua,"Boxing, Boxer, British","Power, Size, Technique","Dominant, Inspirational, Popular","DAZN, Hugo Boss, Suntory, Under Armour",11.8M,Boxing,British,"Boxing fans, sports enthusiasts",$100 million (approx.),35.0,Unknown,Under Armour
Antoine Griezmann,"Soccer, Forward, French","Skill, Finishing, Versatility","Exciting, Creative, Popular","Huawei, Puma",48.4M,Soccer,French,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),33.0,Maud Griezmann,Puma
Antonio Brown,"NFL, Wide Receiver, American","Speed, Agility, Catching","Dominant, Controversial, Popular","Meta Platforms, Nike, Pepsi",12.4M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),36.0,Drew Rosenhaus,Nike
Arik Armstead,"NFL, Defensive End, American","Strength, Power, Versatility","Reliable, Respected, Productive","Nike, Toyota Motor",1.3M,American Football,American,"NFL fans, sports enthusiasts",$30 million (approx.),30.0,Chafie Fields,Nike
Barry Zito,"MLB, Pitcher, American","Stuff, Movement, Quirky","Exciting, Unpredictable, Popular","Mizuno, Rawlings",1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$30 million (approx.),46.0,Unknown,Mizuno
Bastian Schweinsteiger,"Soccer, Midfielder, German","Skill, Technique, Leadership","Elegant, Inspirational, Respected","Beats Electronics, Adidas",10.6M,Soccer,German,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),40.0,Robert Schneider,Adidas
Ben Roethlisberger,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Experienced, Clutch, Popular","Fanatics, Nike, Panini, Sprint Nextel",5.3M,American Football,American,"NFL fans, sports enthusiasts",$150 million (approx.),42.0,Ryan Tollner,"Nike, Fanatics"
Billy Horschel,"Golf, Golfer, American","Skill, Consistency, Charisma","Exciting, Inspirational, Popular","Lexus, Titleist, Ralph Lauren, Zurich Insurance Group",1.3M,Golf,American,"Golf fans, sports enthusiasts",$50 million (approx.),37.0,Sherry Whey,Ralph Lauren
Blake Griffin,"NBA, Power Forward, American","Athleticism, Dunking, Versatility","Exciting, Popular, Controversial","Nike, Panini, Red Bull",12.3M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),35.0,Sam Goldfeder,"Nike, Red Bull"
Bobby Wagner,"NFL, Linebacker, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected","BodyArmor, Nike",2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),34.0,Unknown,Nike
Bradley Beal,"NBA, Shooting Guard, American","Scoring, Athleticism, Versatility","Exciting, Productive, Popular","Kuaishou Technology, Nike, Super Group",6.6M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),31.0,Mark Bartelstein,Nike
Branden Albert,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),39.0,"Joe Flanagan, Brad Leshnock",Nike
Brandin Cooks,"NFL, Wide Receiver, American","Speed, Agility, Catching","Explosive, Reliable, Productive","Bose, Fanatics, Kumho Industrial Co. Ltd., Reebok",4.1M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),31.0,Ryan Tollner,"Fanatics, Reebok"
Brandon Marshall,"NFL, Wide Receiver, American","Speed, Strength, Catching","Dominant, Controversial, Popular",Nike,4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),40.0,Kennard McGuire,Nike
Brandon Roy,"NBA, Shooting Guard, American","Scoring, Athleticism, Versatility","Exciting, Inspirational, Respected",Nike,1.3M,Basketball,American,"NBA fans, sports enthusiasts",$50 million (approx.),40.0,Arn Tellem,Nike
Brandt Snedeker,"Golf, Golfer, American","Skill, Consistency, Charisma","Elegant, Inspirational, Popular","NetJets, Bridgestone, Mastercard, RBC, Wyndham Worldwide",1.3M,Golf,American,"Golf fans, sports enthusiasts",$50 million (approx.),43.0,Jimmy Johnston,-1
Brook Lopez,"NBA, Center, American","Size, Shooting, Versatility","Reliable, Respected, Productive",Adidas,1.2M,Basketball,American,"NBA fans, sports enthusiasts",$50 million (approx.),36.0,Darren Matsubara,Adidas
Bryce Harper,"MLB, Outfielder, American","Power, Athleticism, Showmanship","Exciting, Controversial, Popular","Electronic Arts, Fanatics, Gatorade, Rawlings, Topps, Under Armour",5.5M,Baseball,American,"Baseball fans, sports enthusiasts",$300 million (approx.),32.0,Scott Boras,"Fanatics, Under Armour"
Buster Posey,"MLB, Catcher, American","Hitting, Leadership, Defense","Dominant, Iconic, Inspirational","BodyArmor, Directv, Nike, Rawlings, Topps, Toyota Motor",1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$200 million (approx.),37.0,Jeff Berry,Nike
CC Sabathia,"MLB, Pitcher, American","Stuff, Movement, Leadership","Dominant, Iconic, Respected",Nike,1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),44.0,"Juan Perez, Kyle Thousand",Nike
CJ McCollum,"NBA, Shooting Guard, American","Scoring, Athleticism, Versatility","Exciting, Productive, Popular","AT&T, Jamba Juice, Levi Strauss & Co, Li Ning, Moda Health",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),33.0,Sam Goldfeder,Li Ning
CJ Mosley,"NFL, Linebacker, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected","Nike, Panini",1.4M,American Football,American,"NFL fans, sports enthusiasts",$40 million (approx.),32.0,Jimmy Sexton,Nike
Calais Campbell,"NFL, Defensive Tackle, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$30 million (approx.),33.0,Tom Condon,Nike
Calvin Johnson,"NFL, Wide Receiver, American","Speed, Strength, Catching","Dominant, Iconic, Respected","Electronic Arts, Nike",4.2M,American Football,American,"NFL fans, sports enthusiasts",$150 million (approx.),39.0,Bus Cook,Nike
Cam Newton,"NFL, Quarterback, American","Arm Strength, Athleticism, Charisma","Exciting, Controversial, Popular","Atrium, Beats Electronics, Under Armour, YouTube",9.4M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),35.0,"Bus Cook, Carlos Fleming",Under Armour
Cameron Heyward,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,Michael Perrett,Nike
Cameron Jordan,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected","Ford Motor, Nike",2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,Doug Hendrickson,Nike
Canelo Alvarez,"Boxing, Boxer, Mexican","Power, Skill, Technique","Dominant, Popular, Respected",ANHEUSER BUSCH INBEV SA SPON,10.6M,Boxing,Mexican,"Boxing fans, sports enthusiasts",$150 million (approx.),34.0,Unknown,Everlast
Carl Crawford,"MLB, Outfielder, American","Speed, Athleticism, Versatility","Exciting, Productive, Popular","Nike, Rawlings",1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),43.0,Brian Peters,Nike
Carl Nicks,"NFL, Offensive Guard, American","Strength, Power, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$30 million (approx.),39.0,"Tom Condon, Ben Dogra",Nike
Carlos Dunlap,"NFL, Defensive End, American","Strength, Power, Disruption","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,Drew Rosenhaus,Nike
Carlos Lee,"MLB, Outfielder, Dominican Republic","Power, Hitting, Versatility","Consistent, Reliable, Productive",Nike,1.3M,Baseball,Dominican Republic,"Baseball fans, sports enthusiasts",$50 million (approx.),48.0,Unknown,Nike
Carlos Tevez,"Soccer, Forward, Argentine","Speed, Dribbling, Finishing","Exciting, Creative, Controversial",Nike,10.6M,Soccer,Argentine,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),40.0,Kia Joorabchian,Nike
Carlos Zambrano,"MLB, Pitcher, Venezuelan","Stuff, Movement, Temper","Dominant, Controversial, Respected",Nike,1.4M,Baseball,Venezuelan,"Baseball fans, sports enthusiasts",$50 million (approx.),43.0,Barry Praver,Nike
Carmelo Anthony,"NBA, Small Forward, American","Scoring, Leadership, Versatility","Dominant, Iconic, Controversial","Foot Locker, Nike, Panini",10.6M,Basketball,American,"NBA fans, sports enthusiasts",$250 million (approx.),40.0,"Leon Rose, Lloyd Frischer",Nike
Carson Palmer,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Experienced, Respected, Productive",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),44.0,David Dunn,Nike
Carson Wentz,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Inspirational","Amazon, Fanatics, Nike, Panini",5.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),31.0,Ryan Tollner,"Nike, Fanatics"
Cesc Fabregas,"Soccer, Midfielder, Spanish","Skill, Technique, Leadership","Elegant, Inspirational, Respected",Puma,12.7M,Soccer,Spanish,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),37.0,Darren Dein,Puma
Chandler Jones,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,3.2M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),34.0,Joe Panos,Nike
Chandler Parsons,"NBA, Forward, American","Shooting, Athleticism, Versatility","Exciting, Productive, Popular",Adidas,4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),35.0,James Dunleavy,Adidas
Charles Johnson,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),91.0,Unknown,Nike
Chris Bosh,"NBA, Power Forward/Center, American","Scoring, Rebounding, Versatility","Dominant, Reliable, Respected",Nike,5.5M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),40.0,Unknown,Nike
Chris Jones,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Reliable, Respected",Nike,4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),29.0,Unknown,Nike
Chris Paul,"NBA, Point Guard, American","Skill, Leadership, Versatility","Dominant, Iconic, Inspirational","Beyond Meat, Calm, Fanatics, Gopuff, Koia, Nike, State Farm Mutual Auto Insurance",12.7M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),39.0,Tyeke Sullivan,"Nike, Fanatics"
Christian McCaffrey,"NFL, Running Back, American","Speed, Athleticism, Versatility","Dominant, Exciting, Popular","Bose, Nike, Pepsi, USAA",6.6M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),28.0,"Joel Segal, Ira Stahlberger",Nike
Clay Matthews,"NFL, Linebacker, American","Speed, Athleticism, Versatility","Dominant, Inspirational, Respected","Gillette, Nike, Verizon",3.2M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),38.0,David Dunn,Nike
Clayton Kershaw,"MLB, Pitcher, American","Stuff, Movement, Consistency","Dominant, Iconic, Inspirational","Skechers USA, Topps, Wilson Sporting Goods",2.4M,Baseball,American,"Baseball fans, sports enthusiasts",$300 million (approx.),36.0,"J.D. Smart, Casey Close","Skechers USA, Wilson Sporting Goods"
Cliff Lee,"MLB, Pitcher, American","Stuff, Movement, Competitiveness","Fiery, Inspirational, Respected",Nike,1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$50 million (approx.),46.0,Darek Braunecker,Nike
Cole Hamels,"MLB, Pitcher, American","Stuff, Movement, Consistency","Reliable, Respected, Productive","Topps, New Balance",1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$50 million (approx.),40.0,John Boggs,New Balance
Conor McGregor,"MMA, Fighter, Irishman","Strength, Speed, Confidence","Ruthless, Charismatic, Controversial","Beetroot Lab, DraftKings, Rolls-Royce, Wynn Las Vegas, LLC",48.7M,Mixed Martial Arts,Irish,"MMA fans, sports enthusiasts, casual followers",$200 million (approx.),36.0,Audie Attar,-1
Cristiano Ronaldo,"Soccer, Forward, Portuguese","Speed, Dribbling, Finishing","Dominant, Iconic, Inspirational","Binance, Herbalife, Jacob & Co, MTG, Nike, Unilever",572M,Soccer,Portuguese,"Soccer fans, sports enthusiasts, casual followers",$1 billion (approx.),39.0,Jorge Mendes,Nike
D'Angelo Russell,"NBA, Point Guard, American","Skill, Creativity, Versatility","Exciting, Productive, Popular",Nike,4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),28.0,Unknown,Nike
DBrickashaw Ferguson,"NFL, Defensive End, American","Strength, Power, Disruption","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$30 million (approx.),40.0,Brad Blank,Nike
DJ Reader,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Reliable, Respected",Nike,1.2M,American Football,American,"NFL fans, sports enthusiasts",$20 million (approx.),30.0,Joby Branion,Nike
Dak Prescott,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Popular","Albertson's, Anheuser-Busch InBev, AT&T, Beats Electronics, Directv, Frito-Lay, Nike, Panini, PepsiCo, Seven & I Holdings, Sleep Number",5.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),31.0,Todd France,Nike
Dale Earnhardt Jr,"NASCAR, Driver, American","Skill, Consistency, Charisma","Legendary, Successful, Popular","Chevrolet, Nationwide Mutual Insurance, Wrangler",2.1M,NASCAR,American,"NASCAR fans, racing enthusiasts",$200 million (approx.),50.0,Unknown,-1
Damian Lillard,"NBA, Point Guard, American","Scoring, Athleticism, Leadership","Exciting, Inspirational, Respected","Adidas, Bose, Gatorade, Oakley, Panini, Tissot",10.6M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),34.0,Aaron Goodwin,Adidas
Daniel Ricciardo,"Formula 1, Driver, Australian","Speed, Skill, Strategy","Exciting, Popular, Charismatic","Amazon, GoPro, Puma, Stance Socks",12.9M,Formula 1,Australian,"Formula 1 fans, racing enthusiasts",$100 million (approx.),35.0,"Roman di Somma, Nick Thimm",Puma
Dante Fowler,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),29.0,Unknown,Nike
Darius Slay,"NFL, Cornerback, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected",Nike,4.1M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),33.0,Drew Rosenhaus,Nike
Darnell Dockett,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Controversial, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),43.0,Unknown,Nike
Darrelle Revis,"NFL, Cornerback, American","Speed, Athleticism, Coverage","Dominant, Iconic, Respected",Nike,3.2M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),39.0,"Jon Feinsod, Neil Schwartz",Nike
Davante Adams,"NFL, Wide Receiver, American","Speed, Agility, Catching","Explosive, Reliable, Productive","Associated Banc-Corp, Nike, Pepsi, Procter & Gamble",4.1M,American Football,American,"NFL fans, sports enthusiasts",$30 million (approx.),31.0,Frank Bauer,Nike
